Prompt,Prompt_Type,Prompt_Length,HCI_Application
How do you say excuse me in Japanese,Interrogative,36,Real-Time Translation UI
Debug the following: fetch(url).then(res => res.json,Declarative,52,Code Rectification
Plot a graph for sales data,Declarative,27,Graph Generation
What about science,Interrogative,18,Code Generator
Describe electricity,Declarative,20,Educational Bot
What's the Korean word for where is the bathroom,Interrogative,48,Real-Time Translation UI
What is 42 plus 4 please,Interrogative,24,Voice Calculator
Show me the airport,Imperative,19,Location Services UI
Create a HTML script that compute factorial please,Declarative,50,Code Generator
How are you,Interrogative,11,Conversational UI
Translate where is the bathroom to Dutch,Imperative,40,Real-Time Translation UI
Describe blockchain,Declarative,19,Educational Bot
Graph user growth,Declarative,17,Graph Generation
How to parse JSON in Python,Interrogative,27,Code Generator
Generate code in CSS to sort a list,Declarative,35,Code Generator
Graph population growth,Declarative,23,Graph Generation
Capital of Spain,Declarative,16,Location Services UI
What do you think about career?,Interrogative,31,Chatbot Interface
Write HTML code for compute factorial,Declarative,37,Code Generator
show me the train station,Imperative,25,Location Services UI
Debug the following: <div class='btn' onclick='alert('hi')'>,Declarative,60,Code Rectification
What's up,Interrogative,9,Conversational UI
Who discovered the light bulb thanks,Interrogative,36,Knowledge Assistant
Teach me DNA,Declarative,12,Educational Bot
Define gravity,Declarative,14,Educational Bot
Create a chart showing stock prices,Declarative,35,Graph Generation
There's an error in button { color red; },Declarative,41,Code Rectification
Tell me about gravity,Declarative,21,Educational Bot
How do you say maybe in Dutch,Interrogative,29,Real-Time Translation UI
Can you translate goodbye into Chinese,Declarative,38,Real-Time Translation UI
Show me information about science,Imperative,33,Code Generator
What is the capital of Spain,Interrogative,28,Location Services UI
How do you say maybe in French,Interrogative,30,Real-Time Translation UI
Tell me about evolution,Declarative,23,Educational Bot
Please Write CSS code for create a web page,Declarative,43,Code Generator
How to a login API in Python,Interrogative,28,Code Generator
There's an error in try: pass except: pass,Declarative,42,Code Rectification
How are you?,Interrogative,12,Conversational UI
What do you think about relationships,Interrogative,37,Chatbot Interface
Hi there!!,Conversational,10,Conversational UI
Visualize stock prices as bar,Declarative,29,Graph Generation
Tell me about the French Revolution!!,Declarative,37,Knowledge Assistant
What do you think about career?,Interrogative,31,Chatbot Interface
What do you think about hobbies,Interrogative,31,Chatbot Interface
Can you translate please help me into Arabic,Declarative,44,Real-Time Translation UI
Generate code in JavaScript to compute factorial,Declarative,48,Code Generator
Directions to Paris!!,Declarative,21,Location Services UI
What's the Portuguese word for hello,Interrogative,36,Real-Time Translation UI
Can you translate yes into Korean,Declarative,33,Real-Time Translation UI
Correct this Python code: fetch(url).then(res => res.json,Declarative,57,Code Rectification
Information on science,Declarative,22,Code Generator
Visualize user growth as pie,Declarative,28,Graph Generation
Correct this JavaScript code: if x = 10: print('hi'),Declarative,52,Code Rectification
Fix this code: for i in range(10) print(i),Declarative,42,Code Rectification
generate code in javascript to style a button,Declarative,45,Code Generator
Debug the following: for i in range(10) print(i),Declarative,48,Code Rectification
Graph sales data,Declarative,16,Graph Generation
What's the Spanish word for excuse me,Interrogative,37,Real-Time Translation UI
Show me information about geography,Imperative,35,Location Services UI
Graph population growth,Declarative,23,Graph Generation
Show me Central Park,Imperative,20,Location Services UI
Fix this code: if x = 10: print('hi'),Declarative,37,Code Rectification
Suggest something,Declarative,17,Chatbot Interface
History of dinosaurs,Conversational,20,Knowledge Assistant
What is magnetism,Interrogative,17,Educational Bot
Code example for create a web page in Python,Declarative,44,Code Generator
How do you say yes in Arabic,Interrogative,28,Real-Time Translation UI
Who invented penicillin,Interrogative,23,Knowledge Assistant
What's the Japanese word for yes,Interrogative,32,Real-Time Translation UI
Correct this CSS code: if x = 10: print('hi'),Declarative,45,Code Rectification
Fix this code: for i in range(10) print(i),Declarative,42,Code Rectification
Create a CSS script that style a button,Declarative,39,Code Generator
Correct this HTML code: try: pass except: pass,Declarative,46,Code Rectification
How to animate an element in Python,Interrogative,35,Code Generator
Hello,Conversational,5,Conversational UI
Explain photosynthesis,Imperative,22,Educational Bot
Code example for style a button in CSS,Declarative,38,Code Generator
Visualize sales data as line,Declarative,28,Graph Generation
Calculate 37 subtract 35,Imperative,24,Voice Calculator
Write HTML code for a login API,Declarative,31,Code Generator
Define democracy,Declarative,16,Educational Bot
Fix this code: button { color red; },Declarative,36,Code Rectification
Could you That's interesting,Declarative,28,Conversational UI
Tell me more,Declarative,12,Code Rectification
Convert yes from English to Italian,Declarative,35,Real-Time Translation UI
Find the result of 12 squared,Imperative,29,Voice Calculator
What do you think about hobbies,Interrogative,31,Chatbot Interface
Share a quote with me,Declarative,21,Chatbot Interface
Code example for a login API in JavaScript,Declarative,42,Code Generator
Convert where is the bathroom from English to Dutch,Declarative,51,Real-Time Translation UI
Where is Central Park?,Interrogative,22,Location Services UI
Debug the following: <div class='btn' onclick='alert('hi')'>,Declarative,60,Code Rectification
I would like to relax,Declarative,21,Chatbot Interface
Share a quote with me,Declarative,21,Chatbot Interface
How do you say nice to meet you in Russian,Interrogative,42,Real-Time Translation UI
Correct this Python code: fetch(url).then(res => res.json,Declarative,57,Code Rectification
What about history,Interrogative,18,Chatbot Interface
How to parse JSON in HTML,Interrogative,25,Code Generator
Who discovered the airplane,Interrogative,27,Knowledge Assistant
Show me information about science,Imperative,33,Location Services UI
Tell me more,Declarative,12,Real-Time Translation UI
How do you say I love you in French,Interrogative,35,Real-Time Translation UI
Debug the following: button { color red; },Declarative,42,Code Rectification
There's an error in button { color red; },Declarative,41,Code Rectification
Good morning,Conversational,12,Conversational UI
What about geography,Interrogative,20,Voice Calculator
I need suggestions for a restaurant,Declarative,35,Chatbot Interface
Generate code in JavaScript to style a button,Declarative,45,Code Generator
Where is the library thanks,Interrogative,27,Location Services UI
Describe magnetism,Declarative,18,Educational Bot
create a chart showing user growth,Declarative,34,Graph Generation
Convert where is the bathroom from English to Chinese,Declarative,53,Real-Time Translation UI
Describe climate change,Declarative,23,Educational Bot
Create a Python script that a login API,Declarative,39,Code Generator
Create a chart showing population growth,Declarative,40,Graph Generation
Calculate 61 subtract 34,Imperative,24,Voice Calculator
Write JavaScript code for style a button,Declarative,40,Code Generator
Thank you,Conversational,9,Conversational UI
What do you think about hobbies,Interrogative,31,Chatbot Interface
Debug the following: <div class='btn' onclick='alert('hi')'>,Declarative,60,Code Rectification
Define climate change,Declarative,21,Educational Bot
Tell me a story,Declarative,15,Chatbot Interface
maybe in Chinese,Declarative,16,Real-Time Translation UI
Suggest something,Declarative,17,Chatbot Interface
Show me information about technology,Imperative,36,Knowledge Assistant
Tell me more?,Declarative,13,Educational Bot
Who wrote to kill a mockingbird,Interrogative,31,Knowledge Assistant
What is 55 to the power of 7,Interrogative,28,Voice Calculator
Help with homework,Declarative,18,Real-Time Translation UI
Solve 90 multiplied by 36,Imperative,25,Voice Calculator
Find the answer to my query,Imperative,27,Code Rectification
What can you do,Interrogative,15,Conversational UI
Tell me about World War II,Declarative,26,Knowledge Assistant
Fix this code: fetch(url).then(res => res.json,Declarative,46,Code Rectification
Code example for parse JSON in Python,Declarative,37,Code Generator
Describe blockchain,Declarative,19,Educational Bot
Find the result of 58 minus 21,Imperative,30,Voice Calculator
Tell me more,Declarative,12,Location Services UI
Nice to meet you,Declarative,16,Conversational UI
Goodbye,Declarative,7,Conversational UI
Define cell division?,Declarative,21,Educational Bot
Thank you,Conversational,9,Conversational UI
Debug the following: for i in range(10) print(i),Declarative,48,Code Rectification
Help me decide,Declarative,14,Chatbot Interface
Translate goodbye to Dutch,Imperative,26,Real-Time Translation UI
Show me the airport,Imperative,19,Location Services UI
Who wrote Harry Potter,Interrogative,22,Knowledge Assistant
Tell me about World War II,Declarative,26,Knowledge Assistant
What can you do,Interrogative,15,Conversational UI
Share a joke with me,Declarative,20,Chatbot Interface
I need help with research,Declarative,25,Real-Time Translation UI
How to style a button in CSS,Interrogative,28,Code Generator
Graph sales data,Declarative,16,Graph Generation
Can you help me please,Declarative,22,Chatbot Interface
Hi there,Conversational,8,Conversational UI
Who discovered the radio,Interrogative,24,Knowledge Assistant
What's the German word for nice to meet you,Interrogative,43,Real-Time Translation UI
Correct this Python code: try: pass except: pass,Declarative,48,Code Rectification
Facts about Greek mythology,Declarative,27,Knowledge Assistant
Find the answer to that question,Imperative,32,Chatbot Interface
What is your name,Interrogative,17,Conversational UI
Capital of Spain,Declarative,16,Location Services UI
Tell me about gravity,Declarative,21,Educational Bot
Plot a graph for user growth,Declarative,28,Graph Generation
Hey,Conversational,3,Conversational UI
Where is Times Square,Interrogative,21,Location Services UI
Could you Convert no from English to Arabic,Declarative,43,Real-Time Translation UI
What do you think about health,Interrogative,30,Chatbot Interface
Find the result of 16 squared,Imperative,29,Voice Calculator
Share a quote with me,Declarative,21,Chatbot Interface
How's it going,Interrogative,14,Conversational UI
What is your name,Interrogative,17,Conversational UI
Give me advice on education,Declarative,27,Chatbot Interface
Information on science,Declarative,22,Voice Calculator
Graph population growth,Declarative,23,Graph Generation
Create a chart showing temperature changes,Declarative,42,Graph Generation
Tell me about World War II,Declarative,26,Knowledge Assistant
Help with research,Declarative,18,Chatbot Interface
Hi there,Conversational,8,Conversational UI
Tell me a story,Declarative,15,Chatbot Interface
solve square root of 76,Imperative,23,Voice Calculator
Capital of India,Declarative,16,Location Services UI
Capital of Canada,Declarative,17,Location Services UI
Graph user growth,Declarative,17,Graph Generation
Graph population growth,Declarative,23,Graph Generation
Code example for parse JSON in Python,Declarative,37,Code Generator
Define cell division,Declarative,20,Educational Bot
Help me decide,Declarative,14,Chatbot Interface
Plot a graph for user growth,Declarative,28,Graph Generation
Please Goodbye,Declarative,14,Conversational UI
Find the result of 40 over 45,Imperative,29,Voice Calculator
Plot a graph for user growth,Declarative,28,Graph Generation
How far is the airport,Interrogative,22,Location Services UI
Solve 77 to the power of 37!!,Imperative,29,Voice Calculator
Create a chart showing temperature changes please,Declarative,49,Graph Generation
History of space exploration?,Conversational,29,Knowledge Assistant
What is DNA,Interrogative,11,Educational Bot
Graph temperature changes,Declarative,25,Graph Generation
Hello,Conversational,5,Conversational UI
Correct this CSS code: try: pass except: pass,Declarative,45,Code Rectification
19 divided by 37 equals what,Declarative,28,Voice Calculator
Plot a graph for user growth,Declarative,28,Graph Generation
Tell me more,Declarative,12,Conversational UI
Solve 26 times 41,Imperative,17,Voice Calculator
Code example for a login API in CSS,Declarative,35,Code Generator
Teach me blockchain,Declarative,19,Educational Bot
Correct this HTML code: button { color red; },Declarative,45,Code Rectification
suggest something,Declarative,17,Chatbot Interface
How to handle errors in HTML!!,Interrogative,30,Code Generator
Solve 31 add 15,Imperative,15,Voice Calculator
How do you say no in German,Interrogative,27,Real-Time Translation UI
Create a chart showing population growth,Declarative,40,Graph Generation
Find Tokyo near me,Imperative,18,Location Services UI
Visualize temperature changes as line,Declarative,37,Graph Generation
94 times 19 equals what,Declarative,23,Voice Calculator
Thank you,Conversational,9,Conversational UI
How to a login API in Python,Interrogative,28,Code Generator
Please Graph population growth,Declarative,30,Graph Generation
How's it going,Interrogative,14,Conversational UI
Who discovered the computer,Interrogative,27,Knowledge Assistant
Fix this code: for i in range(10) print(i),Declarative,42,Code Rectification
Find the result of 14 minus 31,Imperative,30,Voice Calculator
thank you in Portuguese,Conversational,23,Real-Time Translation UI
Tell me about the Renaissance,Declarative,29,Knowledge Assistant
What happened in the French Revolution,Interrogative,38,Knowledge Assistant
Give me 6 multiplied by 45,Declarative,26,Voice Calculator
Give me 22 times 8,Declarative,18,Voice Calculator
Graph stock prices,Declarative,18,Graph Generation
Give me 36 multiplied by 9,Declarative,26,Voice Calculator
Tell me a quote,Declarative,15,Chatbot Interface
yes in Japanese,Declarative,15,Real-Time Translation UI
goodbye in Spanish,Declarative,18,Real-Time Translation UI
Explain gravity,Imperative,15,Educational Bot
Convert no from English to Japanese,Declarative,35,Real-Time Translation UI
i need suggestions for a restaurant,Declarative,35,Chatbot Interface
Fix this code: fetch(url).then(res => res.json,Declarative,46,Code Rectification
Visualize population growth as line,Declarative,35,Graph Generation
Directions to the mall,Declarative,22,Location Services UI
Goodbye,Declarative,7,Conversational UI
What about geography,Interrogative,20,Location Services UI
Graph population growth,Declarative,23,Graph Generation
There's an error in if x = 10: print('hi')!!,Declarative,44,Code Rectification
What's up,Interrogative,9,Conversational UI
What is the capital of China,Interrogative,28,Location Services UI
Correct this HTML code: <div class='btn' onclick='alert('hi')'>,Declarative,63,Code Rectification
Visualize user growth as pie,Declarative,28,Graph Generation
Create a Python script that validate form,Declarative,41,Code Generator
Create a chart showing user growth,Declarative,34,Graph Generation
Debug the following: if x = 10: print('hi'),Declarative,43,Code Rectification
How's it going,Interrogative,14,Conversational UI
I'm confused,Declarative,12,Conversational UI
Create a chart showing temperature changes,Declarative,42,Graph Generation
What is your name,Interrogative,17,Conversational UI
What's the German word for maybe,Interrogative,32,Real-Time Translation UI
Explain the water cycle,Imperative,23,Educational Bot
What happened in the French Revolution,Interrogative,38,Knowledge Assistant
Who wrote the great gatsby,Interrogative,26,Knowledge Assistant
Who discovered the steam engine,Interrogative,31,Knowledge Assistant
Describe DNA,Declarative,12,Educational Bot
Visualize population growth as scatter,Declarative,38,Graph Generation
Can you translate excuse me into Chinese,Declarative,40,Real-Time Translation UI
Give me 22 squared,Declarative,18,Voice Calculator
Hello,Conversational,5,Conversational UI
Graph population growth,Declarative,23,Graph Generation
Good afternoon,Declarative,14,Conversational UI
Show me Tokyo,Imperative,13,Location Services UI
Fix this code: if x = 10: print('hi'),Declarative,37,Code Rectification
How to parse JSON in JavaScript,Interrogative,31,Code Generator
Plot a graph for user growth,Declarative,28,Graph Generation
History of the pyramids,Conversational,23,Knowledge Assistant
Goodbye,Declarative,7,Conversational UI
Facts about the pyramids,Declarative,24,Knowledge Assistant
I need to understand the solar system,Declarative,37,Educational Bot
Navigate to the train station,Declarative,29,Location Services UI
Give me 77 to the power of 26,Declarative,29,Voice Calculator
44 to the power of 28 equals what,Declarative,33,Voice Calculator
How to handle errors in HTML,Interrogative,28,Code Generator
Generate code in Python to validate form,Declarative,40,Code Generator
What's the Dutch word for sorry,Interrogative,31,Real-Time Translation UI
What do you think about career,Interrogative,30,Chatbot Interface
How's it going,Interrogative,14,Conversational UI
I need to understand machine learning,Declarative,37,Educational Bot
How to fetch data from API in JavaScript,Interrogative,40,Code Generator
Could you Visualize population growth as pie,Declarative,44,Graph Generation
Give me 30 add 6,Declarative,16,Voice Calculator
Define gravity,Declarative,14,Educational Bot
Thank you,Conversational,9,Conversational UI
History of the pyramids,Conversational,23,Knowledge Assistant
Navigate to the museum,Declarative,22,Location Services UI
Find the result of 2 to the power of 1,Imperative,38,Voice Calculator
find the answer to my query,Imperative,27,Chatbot Interface
Information on technology,Declarative,25,Real-Time Translation UI
Show me information about geography,Imperative,35,Conversational UI
How's it going,Interrogative,14,Conversational UI
Where is New York,Interrogative,17,Location Services UI
Share a quote with me,Declarative,21,Chatbot Interface
Information on science,Declarative,22,Voice Calculator
Plot a graph for sales data,Declarative,27,Graph Generation
I'm confused,Declarative,12,Conversational UI
Hello,Conversational,5,Conversational UI
Show me information about technology,Imperative,36,Conversational UI
What's the Hindi word for excuse me,Interrogative,35,Real-Time Translation UI
Visualize temperature changes as scatter,Declarative,40,Graph Generation
How do you say please help me in Russian,Interrogative,40,Real-Time Translation UI
There's an error in if x = 10: print('hi'),Declarative,42,Code Rectification
I need help with research,Declarative,25,Knowledge Assistant
Suggest something,Declarative,17,Chatbot Interface
I need help with understanding,Declarative,30,Knowledge Assistant
help with homework,Declarative,18,Conversational UI
Give me 14 plus 47 thanks,Declarative,25,Voice Calculator
Find the result of 51 divided by 49,Imperative,35,Voice Calculator
What about math,Interrogative,15,Code Rectification
Tell me more,Declarative,12,Code Rectification
When was the Renaissance,Interrogative,24,Knowledge Assistant
Compute 61 subtract 40,Declarative,22,Voice Calculator
How are you,Interrogative,11,Conversational UI
Define climate change,Declarative,21,Educational Bot
Create a chart showing temperature changes,Declarative,42,Graph Generation
good morning in Japanese,Conversational,24,Real-Time Translation UI
Recommend a movie,Declarative,17,Chatbot Interface
Tell me more thanks,Declarative,19,Location Services UI
What is DNA,Interrogative,11,Educational Bot
How far is downtown,Interrogative,19,Location Services UI
I would like to cook,Declarative,20,Chatbot Interface
how are you in Russian,Interrogative,22,Real-Time Translation UI
Code example for parse JSON in HTML,Declarative,35,Code Generator
Convert maybe from English to Italian,Declarative,37,Real-Time Translation UI
Calculate 100 times 15,Imperative,22,Voice Calculator
Goodbye,Declarative,7,Conversational UI
Directions to Central Park,Declarative,26,Location Services UI
62 times 33 equals what,Declarative,23,Voice Calculator
Show me information about technology,Imperative,36,Voice Calculator
Visualize population growth as scatter,Declarative,38,Graph Generation
I need help with homework,Declarative,25,Location Services UI
Code example for fetch data from API in JavaScript,Declarative,50,Code Generator
Show me information about science,Imperative,33,Knowledge Assistant
Show me information about technology,Imperative,36,Chatbot Interface
Help with homework,Declarative,18,Voice Calculator
How far is the train station,Interrogative,28,Location Services UI
Can you translate yes into Chinese,Declarative,34,Real-Time Translation UI
What's the Korean word for how are you,Interrogative,38,Real-Time Translation UI
History of the Roman Empire,Conversational,27,Knowledge Assistant
Visualize temperature changes as pie,Declarative,36,Graph Generation
What is the solar system,Interrogative,24,Educational Bot
Write Python code for sort a list,Declarative,33,Code Generator
Plot a graph for temperature changes,Declarative,36,Graph Generation
Navigate to the beach,Declarative,21,Location Services UI
How does evolution work,Interrogative,23,Educational Bot
I love you in Japanese,Declarative,22,Real-Time Translation UI
Create a chart showing user growth,Declarative,34,Graph Generation
Debug the following: if x = 10: print('hi')?,Declarative,44,Code Rectification
Debug the following: <div class='btn' onclick='alert('hi')'>,Declarative,60,Code Rectification
Find the result of 26 subtract 18,Imperative,33,Voice Calculator
9 times 33 equals what,Declarative,22,Voice Calculator
Graph temperature changes,Declarative,25,Graph Generation
Calculate 3 multiplied by 13,Imperative,28,Voice Calculator
Recommend a restaurant,Declarative,22,Chatbot Interface
Code example for compute factorial in Python,Declarative,44,Code Generator
Who wrote The Odyssey,Interrogative,21,Knowledge Assistant
Graph temperature changes,Declarative,25,Graph Generation
Visualize sales data as bar,Declarative,27,Graph Generation
Correct this CSS code: fetch(url).then(res => res.json,Declarative,54,Code Rectification
Create a chart showing user growth,Declarative,34,Graph Generation
What's the Hindi word for thank you,Interrogative,35,Real-Time Translation UI
Generate code in JavaScript to handle errors,Declarative,44,Code Generator
Correct this JavaScript code: <div class='btn' onclick='alert('hi')'>,Declarative,69,Code Rectification
Graph temperature changes,Declarative,25,Graph Generation
Calculate 68 add 47,Imperative,19,Voice Calculator
Show me information about history,Imperative,33,Knowledge Assistant
Graph stock prices,Declarative,18,Graph Generation
Generate code in Python to parse JSON,Declarative,37,Code Generator
What is 80 multiplied by 43,Interrogative,27,Voice Calculator
Show me information about math,Imperative,30,Code Generator
Plot a graph for population growth,Declarative,34,Graph Generation
History of Greek mythology thanks,Conversational,33,Knowledge Assistant
Write JavaScript code for handle errors,Declarative,39,Code Generator
how are you in Arabic,Interrogative,21,Real-Time Translation UI
How are you,Interrogative,11,Conversational UI
Show me information about technology,Imperative,36,Location Services UI
Good morning,Conversational,12,Conversational UI
Create a Python script that animate an element,Declarative,46,Code Generator
I need help with homework,Declarative,25,Chatbot Interface
Debug the following: if x = 10: print('hi'),Declarative,43,Code Rectification
Tell me about democracy,Declarative,23,Educational Bot
Debug the following: try: pass except: pass,Declarative,43,Code Rectification
i would like to relax,Declarative,21,Chatbot Interface
Hey,Conversational,3,Conversational UI
Navigate to the train station,Declarative,29,Location Services UI
Describe quantum mechanics,Declarative,26,Educational Bot
How are you,Interrogative,11,Conversational UI
Hi there thanks,Conversational,15,Conversational UI
I would like to learn something new,Declarative,35,Chatbot Interface
Tell me about gravity,Declarative,21,Educational Bot
Code example for handle errors in CSS,Declarative,37,Code Generator
Tell me more,Declarative,12,Conversational UI
I'm confused,Declarative,12,Conversational UI
Create a JavaScript script that compute factorial,Declarative,49,Code Generator
That's interesting,Declarative,18,Conversational UI
Solve 72 to the power of 33,Imperative,27,Voice Calculator
Tell me something,Declarative,17,Conversational UI
Graph population growth,Declarative,23,Graph Generation
Can you translate thank you into Arabic,Declarative,39,Real-Time Translation UI
Write HTML code for style a button,Declarative,34,Code Generator
Can you help me,Declarative,15,Chatbot Interface
Code example for style a button in HTML,Declarative,39,Code Generator
Suggest something,Declarative,17,Chatbot Interface
Find the result of 87 over 34,Imperative,29,Voice Calculator
I need to understand AI,Declarative,23,Educational Bot
Compute 51 over 15,Declarative,18,Voice Calculator
Help with learning,Declarative,18,Conversational UI
Graph sales data,Declarative,16,Graph Generation
Facts about a Titanic,Declarative,21,Knowledge Assistant
Graph user growth,Declarative,17,Graph Generation
Who invented the radio,Interrogative,22,Knowledge Assistant
What's the Spanish word for I love you,Interrogative,38,Real-Time Translation UI
Who discovered the computer,Interrogative,27,Knowledge Assistant
Convert hello from English to Hindi,Declarative,35,Real-Time Translation UI
Please What is 12 multiplied by 50,Declarative,34,Voice Calculator
What can you do,Interrogative,15,Conversational UI
There's an error in for i in range(10) print(i),Declarative,47,Code Rectification
Create a chart showing population growth,Declarative,40,Graph Generation
Hey,Conversational,3,Conversational UI
Correct this Python code: for i in range(10) print(i) thanks,Declarative,60,Code Rectification
When was the Renaissance,Interrogative,24,Knowledge Assistant
What is the water cycle,Interrogative,23,Educational Bot
What is 79 to the power of 28,Interrogative,29,Voice Calculator
Plot a graph for population growth,Declarative,34,Graph Generation
I need suggestions for a restaurant,Declarative,35,Chatbot Interface
Can you translate sorry into Italian,Declarative,36,Real-Time Translation UI
Code example for fetch data from API in Python,Declarative,46,Code Generator
I would like to learn something new,Declarative,35,Chatbot Interface
Tell me more,Declarative,12,Knowledge Assistant
Fix this code: fetch(url).then(res => res.json!!,Declarative,48,Code Rectification
Fix this code: try: pass except: pass,Declarative,37,Code Rectification
Can you help me,Declarative,15,Conversational UI
Help with homework,Declarative,18,Chatbot Interface
I need suggestions for a movie,Declarative,30,Chatbot Interface
Information on history,Declarative,22,Educational Bot
Tell me about AI,Declarative,16,Educational Bot
Help me decide,Declarative,14,Chatbot Interface
What happened in a Industrial Revolution,Interrogative,40,Knowledge Assistant
What happened in the Renaissance,Interrogative,32,Knowledge Assistant
Give me 69 over 28,Declarative,18,Voice Calculator
Good afternoon,Declarative,14,Conversational UI
What is the capital of Germany,Interrogative,30,Location Services UI
Information on science,Declarative,22,Chatbot Interface
When was the Renaissance,Interrogative,24,Knowledge Assistant
How do you say thank you in French,Interrogative,34,Real-Time Translation UI
Give me 36 add 48,Declarative,17,Voice Calculator
how far is the airport,Interrogative,22,Location Services UI
Tell me more,Declarative,12,Real-Time Translation UI
Who invented the light bulb thanks,Interrogative,34,Knowledge Assistant
How far is Central Park,Interrogative,23,Location Services UI
Tell me a riddle,Declarative,16,Chatbot Interface
Plot a graph for population growth,Declarative,34,Graph Generation
What is the solar system,Interrogative,24,Educational Bot
Can you help me,Declarative,15,Conversational UI
Fix this code: if x = 10: print('hi'),Declarative,37,Code Rectification
Who invented the internet,Interrogative,25,Knowledge Assistant
Please Write HTML code for compute factorial,Declarative,44,Code Generator
How does AI work,Interrogative,16,Educational Bot
Correct this JavaScript code: <div class='btn' onclick='alert('hi')'>,Declarative,69,Code Rectification
Tell me something,Declarative,17,Conversational UI
Show me the train station,Imperative,25,Location Services UI
Facts about the pyramids,Declarative,24,Knowledge Assistant
What do you think about hobbies,Interrogative,31,Chatbot Interface
Give me 13 add 47,Declarative,17,Voice Calculator
Who discovered penicillin,Interrogative,25,Knowledge Assistant
Write JavaScript code for animate an element please,Declarative,51,Code Generator
code example for a login api in html,Declarative,36,Code Generator
Find the library near me,Imperative,24,Location Services UI
How does enzymes work,Interrogative,21,Educational Bot
Show me information about geography,Imperative,35,Knowledge Assistant
Find the answer to that question,Imperative,32,Knowledge Assistant
What happened in the Industrial Revolution,Interrogative,42,Knowledge Assistant
Find the museum near me,Imperative,23,Location Services UI
Create a chart showing population growth,Declarative,40,Graph Generation
Help me decide thanks,Declarative,21,Chatbot Interface
Convert excuse me from English to Russian please,Declarative,48,Real-Time Translation UI
Recommend music,Declarative,15,Chatbot Interface
Navigate to the beach,Declarative,21,Location Services UI
Could you Fix this code: try: pass except: pass,Declarative,47,Code Rectification
Could you Compute 60 times 46,Declarative,29,Voice Calculator
Write CSS code for style a button,Declarative,33,Code Generator
Plot a graph for user growth,Declarative,28,Graph Generation
What do you think about education,Interrogative,33,Chatbot Interface
Thank you,Conversational,9,Conversational UI
Can you help me,Declarative,15,Chatbot Interface
Plot a graph for population growth,Declarative,34,Graph Generation
Share a joke with me,Declarative,20,Chatbot Interface
Generate code in JavaScript to fetch data from API,Declarative,50,Code Generator
please help me in Russian,Declarative,25,Real-Time Translation UI
What is magnetism,Interrogative,17,Educational Bot
Fix this code: if x = 10: print('hi'),Declarative,37,Code Rectification
Fix this code: fetch(url).then(res => res.json,Declarative,46,Code Rectification
Fix this code: fetch(url).then(res => res.json,Declarative,46,Code Rectification
I need to understand democracy please,Declarative,37,Educational Bot
How far is the mall?,Interrogative,20,Location Services UI
Code example for a login API in HTML,Declarative,36,Code Generator
Hey,Conversational,3,Conversational UI
Create a chart showing user growth,Declarative,34,Graph Generation
I would like to relax,Declarative,21,Chatbot Interface
How does DNA work,Interrogative,17,Educational Bot
Plot a graph for user growth,Declarative,28,Graph Generation
Debug the following: if x = 10: print('hi') thanks,Declarative,50,Code Rectification
Who invented the telephone,Interrogative,26,Knowledge Assistant
Navigate to Tokyo,Declarative,17,Location Services UI
Translate nice to meet you to French,Imperative,36,Real-Time Translation UI
I need to understand cell division thanks,Declarative,41,Educational Bot
Create a JavaScript script that handle errors,Declarative,45,Code Generator
History of Greek mythology,Conversational,26,Knowledge Assistant
History of the pyramids!!,Conversational,25,Knowledge Assistant
Tell me about the solar system!!,Declarative,32,Educational Bot
Convert no from English to German,Declarative,33,Real-Time Translation UI
Correct this CSS code: if x = 10: print('hi'),Declarative,45,Code Rectification
Who discovered the internet,Interrogative,27,Knowledge Assistant
What is 93 squared,Interrogative,18,Voice Calculator
Write Python code for handle errors,Declarative,35,Code Generator
Who wrote The Great Gatsby,Interrogative,26,Knowledge Assistant
teach me the water cycle,Declarative,24,Educational Bot
Define climate change,Declarative,21,Educational Bot
Define electricity,Declarative,18,Educational Bot
Correct this JavaScript code: <div class='btn' onclick='alert('hi')'>,Declarative,69,Code Rectification
Correct this JavaScript code: try: pass except: pass,Declarative,52,Code Rectification
What's the Italian word for thank you,Interrogative,37,Real-Time Translation UI
What is square root of 53,Interrogative,25,Voice Calculator
Could you Correct this HTML code: for i in range(10) print(i),Declarative,61,Code Rectification
Navigate to the airport,Declarative,23,Location Services UI
I would like to learn something new,Declarative,35,Chatbot Interface
Solve 59 over 43,Imperative,16,Voice Calculator
Recommend a game,Declarative,16,Chatbot Interface
Help me decide?,Declarative,15,Chatbot Interface
Can you translate good morning into Italian,Declarative,43,Real-Time Translation UI
Compute 83 divided by 4,Declarative,23,Voice Calculator
What's the Spanish word for excuse me,Interrogative,37,Real-Time Translation UI
Correct this CSS code: button { color red; },Declarative,44,Code Rectification
Translate maybe to Korean,Imperative,25,Real-Time Translation UI
Translate no to German,Imperative,22,Real-Time Translation UI
Compute 48 plus 15,Declarative,18,Voice Calculator
Give me advice on career,Declarative,24,Chatbot Interface
Find the mall near me,Imperative,21,Location Services UI
I need suggestions for a restaurant!!,Declarative,37,Chatbot Interface
Can you translate sorry into Korean,Declarative,35,Real-Time Translation UI
Navigate to Paris,Declarative,17,Location Services UI
What do you think about health,Interrogative,30,Chatbot Interface
Create a HTML script that style a button,Declarative,40,Code Generator
When was the Industrial Revolution,Interrogative,34,Knowledge Assistant
